# line	start	end	reference (do not reorder columns; end may be blank)
# ASR (large-v3-turbo, zh) + DP auto-alignment; 31 lines = 13x2 + L9-13 reprise
# Spot-check before release: the first line of each pass (near 38.5/107.1/176.1s) drifts most easily
1	38.30	42.12	来自中原一群夥伴
2	42.22	45.14	结庐东南山
3	45.24	49.96	尘缘难尽默对寒窗
4	50.06	53.82	龙珠合十在胸膛
5	54.02	59.64	秉承千年卓绝意志
6	59.74	62.08	潜修东南山
7	62.18	66.28	宁静致远风雨声响
8	66.38	69.66	不绝如缕持香案
9	69.76	72.36	香火在雨中烧
10	72.46	74.56	几十个暑和寒
11	74.68	78.40	血脉相连一方苦行山
12	78.50	81.66	龙珠九转十二金光
13	81.76	86.00	返指五岳和三江
1r	106.91	110.95	来自中原一群夥伴
2r	111.05	114.85	结庐东南山
3r	114.95	118.83	尘缘难尽默对寒窗
4r	118.93	122.01	龙珠合十在胸膛
5r	122.75	128.43	秉承千年卓绝意志
6r	128.53	130.85	潜修东南山
7r	131.01	135.07	宁静致远风雨声响
8r	135.17	138.53	不绝如缕持香案
9r	138.63	141.13	香火在雨中烧
10r	141.23	143.13	几十个暑和寒
11r	143.23	147.07	血脉相连一方苦行山
12r	147.17	150.55	龙珠九转十二金光
13r	150.65	155.65	返指五岳和三江
9r	175.91	177.55	香火在雨中烧
10r	177.65	179.59	几十个暑和寒
11r	179.69	183.45	血脉相连一方苦行山
12r	183.55	187.27	龙珠九转十二金光
13r	187.37	190.67	返指五岳和三江
